name,weight,lift_start,lift_end,success
1,135,00:01:44,4,1
3,137,00:03:56,4,1
5,137,00:04:52,4,1
7,138,00:06:11,4,1
9,138,00:07:08,3,1
1,138,00:08:12,4,1
1,138,00:11:52,3,1
8,140,00:12:58,2,1
3,140,00:14:24,3,0
3,140,00:16:42,3,0
9,141,00:17:49,2,0
9,141,00:19:37,2,0
6,142,00:20:46,5,1
5,142,00:21:55,5,1
10,143,00:23:05,5,1
7,143,00:24:40,3,1
5,144,00:25:52,4,0
2,145,00:26:51,4,1
4,145,00:27:50,3,1
8,145,00:28:32,3,0
8,145,00:29:54,2,0
6,146,00:31:02,3,0
10,146,00:32:13,3,1
7,146,00:33:40,2,0
6,146,00:34:50,2,0
11,150,00:36:12,3,1
2,150,00:37:01,4,1
4,151,00:38:14,2,0
10,151,00:39:23,3,0
4,151,00:40:24,2,0
2,153,00:41:13,2,0
11,154,00:42:20,2,0
11,154,00:44:33,2,0
