name,weight,lift_start,lift_end,success
3,160,00:06:55,5,1
4,165,00:09:02,3,1
6,165,00:09:49,3,1
7,165,00:10:40,3,0
3,165,00:11:31,2,0
7,165,00:12:42,3,1
3,165,00:13:39,3,0
1,167,00:15:18,3,0
4,168,00:17:24,2,1
1,168,00:18:20,5,1
10,170,00:20:08,4,1
6,170,00:20:59,4,1
7,170,00:22:05,4,1
4,171,00:23:25,1,0
2,172,00:24:25,3,1
1,173,00:26:01,3,0
8,174,00:28:00,3,1
9,175,00:29:08,2,0
11,175,00:30:12,3,1
10,175,00:31:15,3,0
9,175,00:32:30,2,0
10,175,00:33:18,2,0
6,176,00:34:31,3,0
2,177,00:35:31,4,1
8,178,00:36:40,4,1
11,179,00:38:01,4,1
5,180,00:42:19,2,0
5,180,00:44:06,3,0
9,180,00:45:22,4,1
5,180,00:46:42,4,0
2,181,00:48:12,3,1
8,181,00:49:24,3,0
11,182,00:50:37,2,0
