name,weight,lift_start,lift_end,success
1,110,00:05:13,4,1
4,111,00:06:29,4,1
5,115,00:08:22,4,1
6,115,00:09:27,4,1
8,115,00:10:19,4,1
1,115,00:11:30,5,1
3,116,00:12:52,6,1
4,116,00:13:59,3,0
4,116,00:16:09,3,0
1,117,00:17:22,6,1
7,118,00:18:35,2,0
5,118,00:19:34,4,1
7,118,00:20:38,5,1
6,119,00:21:50,3,0
8,119,00:22:42,2,0
3,119,00:23:57,5,1
5,120,00:25:47,7,1
6,120,00:27:06,4,1
8,120,00:27:55,5,1
2,121,00:28:56,4,1
7,121,00:30:11,3,0
3,121,00:31:30,4,0
2,126,00:32:43,4,1
2,128,00:35:11,2,1
