name,weight,lift_start,lift_end,success
1,145,00:06:48,4,1
2,146,00:07:50,2,1
5,146,00:08:46,4,1
4,147,00:10:09,4,1
7,147,00:11:19,3,1
6,149,00:13:48,4,1
9,150,00:14:44,4,1
1,150,00:15:34,5,1
2,150,00:16:35,4,1
3,151,00:18:24,3,1
5,151,00:19:27,2,0
7,151,00:20:55,5,1
4,152,00:22:31,3,1
2,153,00:23:51,3,1
8,154,00:25:17,4,1
6,154,00:26:31,4,1
9,154,00:27:31,5,1
1,155,00:29:50,2,0
5,155,00:30:51,3,0
7,155,00:31:07,2,0
3,156,00:33:33,4,1
9,156,00:35:05,3,0
8,157,00:36:08,2,0
4,157,00:37:14,3,0
6,157,00:38:31,4,1
8,158,00:39:44,3,0
10,160,00:41:41,3,1
10,163,00:43:29,3,1
10,166,00:45:35,4,1
