name,weight,lift_start,lift_end,success
1,155,00:01:04,3,1
2,155,00:02:09,3,1
3,155,00:03:05,3,1
4,158,00:04:41,4,1
5,159,00:05:48,4,1
1,160,00:07:07,4,1
2,160,00:08:08,5,1
3,160,00:09:04,4,1
4,163,00:11:43,4,1
1,163,00:12:39,4,1
2,163,00:13:40,3,0
3,163,00:14:37,4,1
6,164,00:15:35,3,1
7,165,00:16:48,4,0
8,165,00:18:00,3,0
5,165,00:18:55,2,0
7,165,00:20:24,3,1
8,165,00:21:44,3,0
8,165,00:23:46,2,0
9,166,00:24:59,3,0
9,166,00:27:14,3,1
4,166,00:28:21,3,0
5,167,00:29:15,6,1
10,168,00:30:26,4,1
6,168,00:31:30,2,0
6,169,00:33:46,2,0
7,171,00:34:58,3,1
9,171,00:36:08,4,1
10,172,00:37:18,3,0
10,172,00:38:53,2,0
