name,weight,lift_start,lift_end,success
8,173,00:06:07,4,1
10,173,00:07:07,3,1
5,174,00:08:09,5,0
5,174,00:10:13,2,0
2,177,00:12:10,3,1
8,177,00:12:59,2,0
5,177,00:13:50,3,0
10,178,00:15:22,2,0
8,178,00:16:12,2,0
7,180,00:17:59,3,1
10,180,00:19:00,2,0
2,182,00:21:41,2,0
2,182,00:23:43,4,0
11,183,00:24:51,2,0
6,184,00:26:10,4,1
11,184,00:27:03,4,1
7,185,00:28:32,4,1
1,187,00:30:06,3,1
3,188,00:31:12,3,1
11,188,00:32:10,4,1
6,189,00:32:59,4,1
7,189,00:34:15,3,1
9,190,00:35:21,4,1
1,192,00:37:01,4,1
6,192,00:37:46,3,0
3,193,00:38:55,4,1
9,195,00:40:29,4,1
1,197,00:42:06,4,1
3,198,00:43:40,4,1
9,199,00:44:53,5,1
